gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Microglia	Neuron
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.005	0.059
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.005	0.059
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.005	0.059
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.086	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.086	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.086	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.086	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.086	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.086	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.038	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.038	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.038	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.038	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.038	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.03	0.003
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.03	0.003
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.03	0.003
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.106	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.106	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.106	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.106	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.106	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.005	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.005	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.005	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.005	0.012
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.005	0.012
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0E7C1314F	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.017	0.003
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.017	0.003
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.017	0.003
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.017	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.005	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.005	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.005	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.005	0.006
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.005	0.006
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.038	0.012
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.038	0.012
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.038	0.012
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.038	0.012
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.038	0.012
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.017	0.006
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.017	0.006
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.017	0.006
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.017	0.006
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0E7C1314F	0.017	0.006
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.017	0.006
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.03	0.003
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.03	0.003
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.03	0.003
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.017	0.003
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.017	0.003
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.017	0.003
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.106	0.059
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.106	0.059
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.106	0.059
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.106	0.059
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.106	0.059
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.106	0.012
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.106	0.012
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.106	0.012
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.106	0.012
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.106	0.012
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.017	0.006
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.017	0.006
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.017	0.006
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.017	0.006
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.017	0.006
BMPR1A	P36894	True	BMR1A_HUMAN	MIS receptor 1	CPI-CS07557A266	0.002	0.001
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.005	0.059
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.005	0.059
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.005	0.059
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.005	0.059
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.005	0.059
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.005	0.059
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.005	0.012
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.005	0.012
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.005	0.012
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.005	0.012
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.005	0.012
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.005	0.006
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.005	0.006
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.005	0.006
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.005	0.006
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.005	0.006
BMPR1B	O00238	True	BMR1B_HUMAN	MIS receptor 2	CPI-CS0F670E8BC	0.002	0.001
CNTFR	P26992	True	CNTFR_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.024	0.039
LIFR	P42702	True	LIFR_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.024	0.039
IL6ST	P40189	True	IL6RB_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.024	0.039
IL6ST	P40189	True	IL6RB_HUMAN	IL11 receptor	CPI-CS0DDFD82E7	0.024	0.036
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS067298D94	0.004	0.003
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.004	0.003
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS077F1340A	0.004	0.003
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS067298D94	0.004	0.003
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.004	0.003
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS077F1340A	0.004	0.003
KDR	P35968	True	VGFR2_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.004	0.003
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS06072FF4E	0.008	0.003
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS06072FF4E	0.008	0.003
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS0AC5142FA	0.0	0.001
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS0AC5142FA	0.0	0.001
IL10RA	Q13651	True	I10R1_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.001	0.001
IL10RB	Q08334	True	I10R2_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.001	0.001
IL11RA	Q14626	True	I11RA_HUMAN	IL11 receptor	CPI-CS0DDFD82E7	0.024	0.036
IL13RA1	P78552	True	I13R1_HUMAN	IL13 receptor	CPI-CS00BF6CD40	0.002	0.001
IL4R	P24394	True	IL4RA_HUMAN	IL13 receptor	CPI-CS00BF6CD40	0.002	0.001
EBI3	Q14213	True	IL27B_HUMAN	IL27	CPI-CC09BCDA08E	0.001	0.001
EBI3	Q14213	True	IL27B_HUMAN	IL35	CPI-CC0C3ECBD1F	0.001	0.0
IL27	Q8NEV9	True	IL27A_HUMAN	IL27	CPI-CC09BCDA08E	0.001	0.001
IL12A	P29459	True	IL12A_HUMAN	IL35	CPI-CC0C3ECBD1F	0.001	0.0
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 1	CPI-CS07557A266	0.002	0.001
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 2	CPI-CS0F670E8BC	0.002	0.001
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.002	0.001
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.01	0.004
PDGFRB	P09619	True	PGFRB_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.01	0.004
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.004	0.003
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.004	0.005
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.01	0.008
TREM2	Q9NZC2	True	TREM2_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.004	0.005
TYROBP	O43914	True	TYOBP_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.004	0.005
NRP1	O14786	True	NRP1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.01	0.008
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.095	0.013
NRP1	O14786	True	NRP1_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.007	0.002
NRP1	O14786	True	NRP1_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.279	0.025
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.095	0.013
PLXNA3	P51805	True	PLXA3_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.007	0.002
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.279	0.025
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.018	0.003
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.018	0.003
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.018	0.003
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.106	0.028
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	1.16	0.532
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.106	0.028
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.106	0.028
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC01C699B73	0.001	0.0
COL6A5	A8TX70	False	CO6A5_HUMAN		CPI-SC00A0B0892	0.005	0.001
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC07ECBFCA7	0.002	0.016
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC0DA298BEC	0.001	0.001
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC067433F6B	0.0	0.0
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0B6F1A278	0.01	0.004
FN1	P02751	False	FINC_HUMAN		CPI-SC0D19BAF15	0.039	0.006
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0F516B854	0.022	0.01
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC011F01833	0.005	0.001
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0FA79E269	0.028	0.01
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC04936738A	0.006	0.008
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC02B111AB0	0.059	0.002
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0CE851065	0.029	0.001
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC07375C073	0.001	0.0
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0D6C777F2	0.004	0.071
COL9A1	P20849	False	CO9A1_HUMAN		CPI-SC0F74C069F	0.005	0.003
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC041DEF0FB	0.006	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0C907A888	0.001	0.001
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC08B1D5269	0.0	0.005
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC0F8101D41	0.004	0.001
COL4A5	P29400	False	CO4A5_HUMAN		CPI-SC087556B01	0.006	0.018
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC08E75294D	0.0	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0017F527E	0.004	0.001
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC00C0800EB	0.004	0.003
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0A3F146C2	0.004	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC015980AEB	0.004	0.0
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0F94B2CF9	0.005	0.043
COL4A6	Q14031	False	CO4A6_HUMAN		CPI-SC05565E8CE	0.002	0.001
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC067EE23E1	0.008	0.004
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC09DFB2ACA	0.019	0.004
COL28A1	Q2UY09	False	COSA1_HUMAN		CPI-SC05D8C0EF5	0.007	0.003
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0725E3A76	0.001	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0C9CBDD21	0.011	0.008
COL26A1	Q96A83	False	COQA1_HUMAN		CPI-SC0147A8A42	0.008	0.001
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC02131C05A	0.027	0.002
COL20A1	Q9P218	False	COKA1_HUMAN		CPI-SC0BF16A11C	0.01	0.004
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC07E0348EF	0.001	0.0
COL6A5	A8TX70	False	CO6A5_HUMAN		CPI-SC05CE52A12	0.005	0.001
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F7E26271	0.002	0.016
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC0CF621D48	0.001	0.001
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0A8902C85	0.0	0.0
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0A0532ADC	0.01	0.004
FN1	P02751	False	FINC_HUMAN		CPI-SC0CFF5E19D	0.039	0.006
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0DF641DAA	0.022	0.01
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC0681D30FE	0.005	0.001
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC02017BE74	0.028	0.01
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC0861656EC	0.006	0.008
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC04085F9F9	0.059	0.002
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0A54B5323	0.029	0.001
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECFACED2	0.001	0.0
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0CA323AE3	0.004	0.071
COL9A1	P20849	False	CO9A1_HUMAN		CPI-SC0CBC30AB7	0.005	0.003
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC0092846B0	0.006	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC08AF9CA91	0.001	0.001
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC07E958BDE	0.0	0.005
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC08CC68F11	0.004	0.001
COL4A5	P29400	False	CO4A5_HUMAN		CPI-SC0CE433AB8	0.006	0.018
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC03BFF1D95	0.0	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC03ADD2063	0.004	0.001
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC0082A7233	0.004	0.003
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0674C647E	0.004	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC060984F83	0.004	0.0
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0014D5A6E	0.005	0.043
COL4A6	Q14031	False	CO4A6_HUMAN		CPI-SC0B066E03C	0.002	0.001
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0247E9ADB	0.008	0.004
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC0035F0B0F	0.019	0.004
COL28A1	Q2UY09	False	COSA1_HUMAN		CPI-SC069F9E62C	0.007	0.003
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0D2BDC009	0.001	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC05F111D21	0.011	0.008
COL26A1	Q96A83	False	COQA1_HUMAN		CPI-SC041215790	0.008	0.001
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC05B2AA866	0.027	0.002
COL20A1	Q9P218	False	COKA1_HUMAN		CPI-SC051B1E9C4	0.01	0.004
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC0B808E56A	0.001	0.0
COL6A5	A8TX70	False	CO6A5_HUMAN		CPI-SC089D4762F	0.005	0.001
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F73E9099	0.002	0.016
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC016235D3A	0.001	0.001
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0BC63F8C0	0.0	0.0
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0672FBD31	0.01	0.004
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0545E2502	0.022	0.01
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC006E22794	0.005	0.001
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0458F68A5	0.028	0.01
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC06E5E0C83	0.006	0.008
